Passenger Id,Title,First Name,Last Name,Sex,Age,Sibling/Spouse Aboard,Parent/Children Aboard,Passenger Class,Fare,Embarkation Port,Survival Boat,Body Number,Survived,age_group,family_size
1, Miss, Elisabeth Walton,Allen,female,29,0,0,1,211.3375,S,2,S,1,Adults,0
2, Master, Hudson Trevor,Allison,male,0.9167,1,2,1,151.55,S,11,S,1,Children,3
3, Miss, Helen Loraine,Allison,female,2,1,2,1,151.55,S,DNS,BNR,0,Children,3
4, Mr, Hudson Joshua Creighton,Allison,male,30,1,2,1,151.55,S,DNS,135,0,Adults,3
5, Mrs, Hudson J C (Bessie Waldo Daniels),Allison,female,25,1,2,1,151.55,S,DNS,BNR,0,Adults,3
6, Mr, Harry,Anderson,male,48,0,0,1,26.55,S,3,S,1,Adults,0
7, Miss, Kornelia Theodosia,Andrews,female,63,1,0,1,77.9583,S,10,S,1,Seniors,1
8, Mr, Thomas Jr,Andrews,male,39,0,0,1,0,S,DNS,BNR,0,Adults,0
9, Mrs, Edward Dale (Charlotte Lamson),Appleton,female,53,2,0,1,51.4792,S,D,S,1,Adults,2
10, Mr, Ramon,Artagaveytia,male,71,0,0,1,49.5042,C,DNS,22,0,Seniors,0
11, Col, John Jacob,Astor,male,47,1,0,1,227.525,C,DNS,124,0,Adults,1
12, Mrs, John Jacob (Madeleine Talmadge Force),Astor,female,18,1,0,1,227.525,C,4,S,1,Teenagers,1
13, Mme, Leontine Pauline,Aubart,female,24,0,0,1,69.3,C,9,S,1,Adults,0
14, Miss," Ellen ""Nellie""",Barber,female,26,0,0,1,78.85,S,6,S,1,Adults,0
15, Mr, Algernon Henry Wilson,Barkworth,male,80,0,0,1,30,S,B,S,1,Seniors,0
16, Mr, John D,Baumann,male,41.5,0,0,1,25.925,S,DNS,BNR,0,Adults,0
17, Mr, Quigg Edmond,Baxter,male,24,0,1,1,247.5208,C,DNS,BNR,0,Adults,1
18, Mrs, James (Helene DeLaudeniere Chaput),Baxter,female,50,0,1,1,247.5208,C,6,S,1,Adults,1
19, Miss, Albina,Bazzani,female,32,0,0,1,76.2917,C,8,S,1,Adults,0
20, Mr, Thomson,Beattie,male,36,0,0,1,75.2417,C,A,BNR,0,Adults,0
21, Mr, Richard Leonard,Beckwith,male,37,1,1,1,52.5542,S,5,S,1,Adults,2
22, Mrs, Richard Leonard (Sallie Monypeny),Beckwith,female,47,1,1,1,52.5542,S,5,S,1,Adults,2
23, Mr, Karl Howell,Behr,male,26,0,0,1,30,C,5,S,1,Adults,0
24, Miss, Rosalie,Bidois,female,42,0,0,1,227.525,C,4,S,1,Adults,0
25, Miss, Ellen,Bird,female,29,0,0,1,221.7792,S,8,S,1,Adults,0
26, Mr, Jakob,Birnbaum,male,25,0,0,1,26,C,DNS,148,0,Adults,0
27, Mr, Dickinson H,Bishop,male,25,1,0,1,91.0792,C,7,S,1,Adults,1
28, Mrs, Dickinson H (Helen Walton),Bishop,female,19,1,0,1,91.0792,C,7,S,1,Adults,1
29, Miss, Amelia,Bissette,female,35,0,0,1,135.6333,S,8,S,1,Adults,0
30, Mr, Mauritz Hakan,Bjornstrom-Steffansson,male,28,0,0,1,26.55,S,D,S,1,Adults,0
31, Mr, Stephen Weart,Blackwell,male,45,0,0,1,35.5,S,DNS,BNR,0,Adults,0
32, Mr, Henry,Blank,male,40,0,0,1,31,C,7,S,1,Adults,0
33, Miss, Caroline,Bonnell,female,30,0,0,1,164.8667,S,8,S,1,Adults,0
34, Miss, Elizabeth,Bonnell,female,58,0,0,1,26.55,S,8,S,1,Adults,0
35, Mr, John James,Borebank,male,42,0,0,1,26.55,S,DNS,BNR,0,Adults,0
36, Miss, Grace Scott,Bowen,female,45,0,0,1,262.375,C,4,S,1,Adults,0
37, Miss, Elsie Edith,Bowerman,female,22,0,1,1,55,S,6,S,1,Adults,1
38, Mr," George (""George Arthur Brayton"")",Bradley,male,41.5,0,0,1,26.55,S,9,S,1,Adults,0
39, Mr, John Bertram,Brady,male,41,0,0,1,30.5,S,DNS,BNR,0,Adults,0
40, Mr, Emil,Brandeis,male,48,0,0,1,50.4958,C,DNS,208,0,Adults,0
41, Dr, Arthur Jackson,Brewe,male,47,0,0,1,39.6,C,DNS,BNR,0,Adults,0
42, Mrs, James Joseph (Margaret Tobin),Brown,female,44,0,0,1,27.7208,C,6,S,1,Adults,0
43, Mrs, John Murray (Caroline Lane Lamson),Brown,female,59,2,0,1,51.4792,S,D,S,1,Seniors,2
44, Mrs, William Robert (Emma Eliza Ward),Bucknell,female,60,0,0,1,76.2917,C,8,S,1,Seniors,0
45, Miss, Elizabeth Margaret,Burns,female,41,0,0,1,134.5,C,3,S,1,Adults,0
46, Major, Archibald Willingham,Butt,male,45,0,0,1,26.55,S,DNS,BNR,0,Adults,0
47, Mr, Alexander,Cairns,male,41.5,0,0,1,31,S,DNS,BNR,0,Adults,0
48, Mr, Edward Pennington,Calderhead,male,42,0,0,1,26.2875,S,5,S,1,Adults,0
49, Mrs, Edward (Helen Churchill Hungerford),Candee,female,53,0,0,1,27.4458,C,6,S,1,Adults,0
50, Mr, Thomas Drake Martinez,Cardeza,male,36,0,1,1,512.3292,C,3,S,1,Adults,1
51, Mrs, James Warburton Martinez (Charlotte Wardle Drake),Cardeza,female,58,0,1,1,512.3292,C,3,S,1,Adults,1
52, Mr, Frans Olof,Carlsson,male,33,0,0,1,5,S,DNS,BNR,0,Adults,0
53, Mr, Francisco M,Carrau,male,28,0,0,1,47.1,S,DNS,BNR,0,Adults,0
54, Mr, Jose Pedro,Carrau,male,17,0,0,1,47.1,S,DNS,BNR,0,Teenagers,0
55, Master, William Thornton II,Carter,male,11,1,2,1,120,S,4,S,1,Children,3
56, Miss, Lucile Polk,Carter,female,14,1,2,1,120,S,4,S,1,Teenagers,3
57, Mr, William Ernest,Carter,male,36,1,2,1,120,S,C,S,1,Adults,3
58, Mrs, William Ernest (Lucile Polk),Carter,female,36,1,2,1,120,S,4,S,1,Adults,3
59, Mr, Howard Brown,Case,male,49,0,0,1,26,S,DNS,BNR,0,Adults,0
60, Mrs, Henry Arthur Jr (Eleanor Genevieve Fosdick),Cassebeer,female,45,0,0,1,27.7208,C,5,S,1,Adults,0
61, Mr, Tyrell William,Cavendish,male,36,1,0,1,78.85,S,DNS,172,0,Adults,1
62, Mrs, Tyrell William (Julia Florence Siegel),Cavendish,female,76,1,0,1,78.85,S,6,S,1,Seniors,1
63, Mr, Herbert Fuller,Chaffee,male,46,1,0,1,61.175,S,DNS,BNR,0,Adults,1
64, Mrs, Herbert Fuller (Carrie Constance Toogood),Chaffee,female,47,1,0,1,61.175,S,4,S,1,Adults,1
65, Mr, Norman Campbell,Chambers,male,27,1,0,1,53.1,S,5,S,1,Adults,1
66, Mrs, Norman Campbell (Bertha Griggs),Chambers,female,33,1,0,1,53.1,S,5,S,1,Adults,1
67, Miss, Victorine,Chaudanson,female,36,0,0,1,262.375,C,4,S,1,Adults,0
68, Miss, Gladys,Cherry,female,30,0,0,1,86.5,S,8,S,1,Adults,0
69, Mr, Paul Romaine,Chevre,male,45,0,0,1,29.7,C,7,S,1,Adults,0
70, Mrs, (Edith Martha Bowerman),Chibnall,female,45,0,1,1,55,S,6,S,1,Adults,1
71, Mr, Roderick Robert Crispin,Chisholm,male,41.5,0,0,1,0,S,DNS,BNR,0,Adults,0
72, Mr, Walter Miller,Clark,male,27,1,0,1,136.7792,C,DNS,BNR,0,Adults,1
73, Mrs, Walter Miller (Virginia McDowell),Clark,female,26,1,0,1,136.7792,C,4,S,1,Adults,1
74, Miss, Alice,Cleaver,female,22,0,0,1,151.55,S,11,S,1,Adults,0
75, Mr, George Quincy,Clifford,male,41.5,0,0,1,52,S,DNS,BNR,0,Adults,0
76, Mr, Edward Pomeroy,Colley,male,47,0,0,1,25.5875,S,DNS,BNR,0,Adults,0
77, Miss, Sara Rebecca,Compton,female,39,1,1,1,83.1583,C,14,S,1,Adults,2
78, Mr, Alexander Taylor Jr,Compton,male,37,1,1,1,83.1583,C,DNS,BNR,0,Adults,2
79, Mrs, Alexander Taylor (Mary Eliza Ingersoll),Compton,female,64,0,2,1,83.1583,C,14,S,1,Seniors,2
80, Mrs, Robert Clifford (Malvina Helen Lamson),Cornell,female,55,2,0,1,25.7,S,2,S,1,Adults,2
81, Mr, John Bertram,Crafton,male,41.5,0,0,1,26.55,S,DNS,BNR,0,Adults,0
82, Capt, Edward Gifford,Crosby,male,70,1,1,1,71,S,DNS,269,0,Seniors,2
83, Miss, Harriet R,Crosby,female,36,0,2,1,71,S,7,S,1,Adults,2
84, Mrs, Edward Gifford (Catherine Elizabeth Halstead),Crosby,female,64,1,1,1,26.55,S,7,S,1,Seniors,2
85, Mr, John Bradley,Cumings,male,39,1,0,1,71.2833,C,DNS,BNR,0,Adults,1
86, Mrs, John Bradley (Florence Briggs Thayer),Cumings,female,38,1,0,1,71.2833,C,4,S,1,Adults,1
87, Mr, Peter Denis ,Daly,male,51,0,0,1,26.55,S,5 9,S,1,Adults,0
88, Mr, Robert Williams,Daniel,male,27,0,0,1,30.5,S,3,S,1,Adults,0
89, Miss, Sarah,Daniels,female,33,0,0,1,151.55,S,8,S,1,Adults,0
90, Mr, Thornton,Davidson,male,31,1,0,1,52,S,DNS,BNR,0,Adults,1
91, Mrs, Thornton (Orian Hays),Davidson,female,27,1,2,1,52,S,3,S,1,Adults,3
92, Mr, Albert Adrian,Dick,male,31,1,0,1,57,S,3,S,1,Adults,1
93, Mrs, Albert Adrian (Vera Gillespie),Dick,female,17,1,0,1,57,S,3,S,1,Teenagers,1
94, Dr, Washington,Dodge,male,53,1,1,1,81.8583,S,13,S,1,Adults,2
95, Master, Washington,Dodge,male,4,0,2,1,81.8583,S,5,S,1,Children,2
96, Mrs, Washington (Ruth Vidaver),Dodge,female,54,1,1,1,81.8583,S,5,S,1,Adults,2
97, Mr, Walter Donald,Douglas,male,50,1,0,1,106.425,C,DNS,62,0,Adults,1
98, Mrs, Frederick Charles (Mary Helene Baxter),Douglas,female,27,1,1,1,247.5208,C,6,S,1,Adults,2
99, Mrs, Walter Donald (Mahala Dutton),Douglas,female,48,1,0,1,106.425,C,2,S,1,Adults,1
100, Lady," (Lucille Christiana Sutherland) (""Mrs Morgan"")",Duff Gordon,female,48,1,0,1,39.6,C,1,S,1,Adults,1
101, Sir," Cosmo Edmund (""Mr Morgan"")",Duff Gordon,male,49,1,0,1,56.9292,C,1,S,1,Adults,1
102, Mr, William Crothers,Dulles,male,39,0,0,1,29.7,C,DNS,133,0,Adults,0
103, Mrs, Boulton (Olive Potter),Earnshaw,female,23,0,1,1,83.1583,C,7,S,1,Adults,1
104, Miss, Caroline Louise,Endres,female,38,0,0,1,227.525,C,4,S,1,Adults,0
105, Miss, Elizabeth Mussey,Eustis,female,54,1,0,1,78.2667,C,4,S,1,Adults,1
106, Miss, Edith Corse,Evans,female,36,0,0,1,31.6792,C,DNS,BNR,0,Adults,0
107, Mr, John,Farthing,male,41.5,0,0,1,221.7792,S,DNS,BNR,0,Adults,0
108, Mrs, Alfred (Antoinette),Flegenheim,female,45,0,0,1,31.6833,S,7,S,1,Adults,0
109, Miss, Margaret,Fleming,female,30,0,0,1,110.8833,C,4,S,1,Adults,0
110, Mr," John Irwin (""Irving"")",Flynn,male,36,0,0,1,26.3875,S,5,S,1,Adults,0
111, Mr, Benjamin Laventall,Foreman,male,30,0,0,1,27.75,C,DNS,BNR,0,Adults,0
112, Miss, Alice Elizabeth,Fortune,female,24,3,2,1,263,S,10,S,1,Adults,5
113, Miss, Ethel Flora,Fortune,female,28,3,2,1,263,S,10,S,1,Adults,5
114, Miss, Mabel Helen,Fortune,female,23,3,2,1,263,S,10,S,1,Adults,5
115, Mr, Charles Alexander,Fortune,male,19,3,2,1,263,S,DNS,BNR,0,Adults,5
116, Mr, Mark,Fortune,male,64,1,4,1,263,S,DNS,BNR,0,Seniors,5
117, Mrs, Mark (Mary McDougald),Fortune,female,60,1,4,1,263,S,10,S,1,Seniors,5
118, Miss, Laura Mabel,Francatelli,female,30,0,0,1,56.9292,C,1,S,1,Adults,0
119, Mr, Thomas Parham,Franklin,male,41.5,0,0,1,26.55,S,DNS,BNR,0,Adults,0
120, Dr, Henry William,Frauenthal,male,50,2,0,1,133.65,S,5,S,1,Adults,2
121, Mr, Isaac Gerald,Frauenthal,male,43,1,0,1,27.7208,C,5,S,1,Adults,1
122, Mrs, Henry William (Clara Heinsheimer),Frauenthal,female,45,1,0,1,133.65,S,5,S,1,Adults,1
123, Miss, Hedwig Margaritha,Frolicher,female,22,0,2,1,49.5,C,5,S,1,Adults,2
124, Mr, Maxmillian,Frolicher-Stehli,male,60,1,1,1,79.2,C,5,S,1,Seniors,2
125, Mrs, Maxmillian (Margaretha Emerentia Stehli),Frolicher-Stehli,female,48,1,1,1,79.2,C,5,S,1,Adults,2
126, Mr, Richard,Fry,male,41.5,0,0,1,0,S,DNS,BNR,0,Adults,0
127, Mr, Jacques Heath,Futrelle,male,37,1,0,1,53.1,S,DNS,BNR,0,Adults,1
128, Mrs, Jacques Heath (Lily May Peel),Futrelle,female,35,1,0,1,53.1,S,D,S,1,Adults,1
129, Mr, Arthur H,Gee,male,47,0,0,1,38.5,S,DNS,275,0,Adults,0
130, Miss, Amalie,Geiger,female,35,0,0,1,211.5,C,4,S,1,Adults,0
131, Miss, Dorothy Winifred,Gibson,female,22,0,1,1,59.4,C,7,S,1,Adults,1
132, Mrs, Leonard (Pauline C Boeson),Gibson,female,45,0,1,1,59.4,C,7,S,1,Adults,1
133, Mr, Victor,Giglio,male,24,0,0,1,79.2,C,DNS,BNR,0,Adults,0
134, Mr, Samuel L,Goldenberg,male,49,1,0,1,89.1042,C,5,S,1,Adults,1
135, Mrs, Samuel L (Edwiga Grabowska),Goldenberg,female,45,1,0,1,89.1042,C,5,S,1,Adults,1
136, Mr, George B,Goldschmidt,male,71,0,0,1,34.6542,C,DNS,BNR,0,Seniors,0
137, Col, Archibald IV,Gracie,male,53,0,0,1,28.5,C,B,S,1,Adults,0
138, Miss, Margaret Edith,Graham,female,19,0,0,1,30,S,3,S,1,Adults,0
139, Mr, George Edward,Graham,male,38,0,1,1,153.4625,S,DNS,147,0,Adults,1
140, Mrs, William Thompson (Edith Junkins),Graham,female,58,0,1,1,153.4625,S,3,S,1,Adults,1
141, Mr, William Bertram,Greenfield,male,23,0,1,1,63.3583,C,7,S,1,Adults,1
142, Mrs, Leo David (Blanche Strouse),Greenfield,female,45,0,1,1,63.3583,C,7,S,1,Adults,1
143, Mr, Benjamin,Guggenheim,male,46,0,0,1,79.2,C,DNS,BNR,0,Adults,0
144, Mr, George Achilles,Harder,male,25,1,0,1,55.4417,C,5,S,1,Adults,1
145, Mrs, George Achilles (Dorothy Annan),Harder,female,25,1,0,1,55.4417,C,5,S,1,Adults,1
146, Mr, Henry Sleeper,Harper,male,48,1,0,1,76.7292,C,3,S,1,Adults,1
147, Mrs, Henry Sleeper (Myna Haxtun),Harper,female,49,1,0,1,76.7292,C,3,S,1,Adults,1
148, Mr, Charles H,Harrington,male,41.5,0,0,1,42.4,S,DNS,BNR,0,Adults,0
149, Mr, Henry Birkhardt,Harris,male,45,1,0,1,83.475,S,DNS,BNR,0,Adults,1
150, Mrs, Henry Birkhardt (Irene Wallach),Harris,female,35,1,0,1,83.475,S,D,S,1,Adults,1
151, Mr, William,Harrison,male,40,0,0,1,0,S,DNS,110,0,Adults,0
152, Mr, Hammad,Hassab,male,27,0,0,1,76.7292,C,3,S,1,Adults,0
153, Mr, Walter James,Hawksford,male,41.5,0,0,1,30,S,3,S,1,Adults,0
154, Miss, Margaret Bechstein,Hays,female,24,0,0,1,83.1583,C,7,S,1,Adults,0
155, Mr, Charles Melville,Hays,male,55,1,1,1,93.5,S,DNS,307,0,Adults,2
156, Mrs, Charles Melville (Clara Jennings Gregg),Hays,female,52,1,1,1,93.5,S,3,S,1,Adults,2
157, Mr, Christopher,Head,male,42,0,0,1,42.5,S,DNS,BNR,0,Adults,0
158, Mr, Herbert Henry,Hilliard,male,41.5,0,0,1,51.8625,S,DNS,BNR,0,Adults,0
159, Mr, William Edward,Hipkins,male,55,0,0,1,50,S,DNS,BNR,0,Adults,0
160, Miss, Jean Gertrude,Hippach,female,16,0,1,1,57.9792,C,4,S,1,Teenagers,1
161, Mrs, Louis Albert (Ida Sophia Fischer),Hippach,female,44,0,1,1,57.9792,C,4,S,1,Adults,1
162, Mrs, John C (Anna Andrews),Hogeboom,female,51,1,0,1,77.9583,S,10,S,1,Adults,1
163, Mr, Alexander Oskar,Holverson,male,42,1,0,1,52,S,DNS,38,0,Adults,1
164, Mrs, Alexander Oskar (Mary Aline Towner),Holverson,female,35,1,0,1,52,S,8,S,1,Adults,1
165, Mr," Harry (""Mr E Haven"")",Homer,male,35,0,0,1,26.55,C,15,S,1,Adults,0
166, Mr, Frederick Maxfield,Hoyt,male,38,1,0,1,90,S,D,S,1,Adults,1
167, Mr, William Fisher,Hoyt,male,41.5,0,0,1,30.6958,C,14,BNR,0,Adults,0
168, Mrs, Frederick Maxfield (Jane Anne Forby),Hoyt,female,35,1,0,1,90,S,D,S,1,Adults,1
169, Miss, Amelie,Icard,female,38,0,0,1,80,S,6,S,1,Adults,0
170, Miss, Ann Elizabeth,Isham,female,50,0,0,1,28.7125,C,DNS,BNR,0,Adults,0
171, Mr, Joseph Bruce,Ismay,male,49,0,0,1,0,S,C,S,1,Adults,0
172, Mr, Charles Cresson,Jones,male,46,0,0,1,26,S,DNS,80,0,Adults,0
173, Mr, Henry Forbes,Julian,male,50,0,0,1,26,S,DNS,BNR,0,Adults,0
174, Mr, Edwin,Keeping,male,32.5,0,0,1,211.5,C,DNS,45,0,Adults,0
175, Mr, Edward Austin,Kent,male,58,0,0,1,29.7,C,DNS,258,0,Adults,0
176, Mr, Frederick R,Kenyon,male,41,1,0,1,51.8625,S,DNS,BNR,0,Adults,1
177, Mrs, Frederick R (Marion),Kenyon,female,45,1,0,1,51.8625,S,8,S,1,Adults,1
178, Mr, Edwin Nelson Jr,Kimball,male,42,1,0,1,52.5542,S,5,S,1,Adults,1
179, Mrs, Edwin Nelson Jr (Gertrude Parsons),Kimball,female,45,1,0,1,52.5542,S,5,S,1,Adults,1
180, Mr, Herman,Klaber,male,41.5,0,0,1,26.55,S,DNS,BNR,0,Adults,0
181, Miss, Emilie,Kreuchen,female,39,0,0,1,211.3375,S,2,S,1,Adults,0
182, Dr, Alice (Farnham),Leader,female,49,0,0,1,25.9292,S,8,S,1,Adults,0
183, Miss, Bertha,LeRoy,female,30,0,0,1,106.425,C,2,S,1,Adults,0
184, Mr, Gustave J,Lesurer,male,35,0,0,1,512.3292,C,3,S,1,Adults,0
185, Mr, Ervin G,Lewy,male,41.5,0,0,1,27.7208,C,DNS,BNR,0,Adults,0
186, Mr," Erik Gustaf (""Mr Edward Lingrey"")",Lindeberg-Lind,male,42,0,0,1,26.55,S,DNS,BNR,0,Adults,0
187, Mrs, Carl Johan (Sigrid Posse),Lindstrom,female,55,0,0,1,27.7208,C,6,S,1,Adults,0
188, Miss, Mary Conover,Lines,female,16,0,1,1,39.4,S,9,S,1,Teenagers,1
189, Mrs, Ernest H (Elizabeth Lindsey James),Lines,female,51,0,1,1,39.4,S,9,S,1,Adults,1
190, Mr, Milton Clyde,Long,male,29,0,0,1,30,S,DNS,126,0,Adults,0
191, Miss, Gretchen Fiske,Longley,female,21,0,0,1,77.9583,S,10,S,1,Adults,0
192, Mr, Joseph Holland,Loring,male,30,0,0,1,45.5,S,DNS,BNR,0,Adults,0
193, Miss, Elise,Lurette,female,58,0,0,1,146.5208,C,DNS,S,1,Adults,0
194, Miss, Georgette Alexandra,Madill,female,15,0,1,1,211.3375,S,2,S,1,Teenagers,1
195, Mr, John Edward,Maguire,male,30,0,0,1,26,S,DNS,BNR,0,Adults,0
196, Miss, Roberta,Maioni,female,16,0,0,1,86.5,S,8,S,1,Teenagers,0
197, Mr, Pierre,Marechal,male,41.5,0,0,1,29.7,C,7,S,1,Adults,0
198, Mr, Daniel Warner,Marvin,male,19,1,0,1,53.1,S,DNS,BNR,0,Adults,1
199, Mrs, Daniel Warner (Mary Graham Carmichael Farquarson),Marvin,female,18,1,0,1,53.1,S,10,S,1,Teenagers,1
200, Mlle," Berthe Antonine (""Mrs de Villiers"")",Mayne,female,24,0,0,1,49.5042,C,6,S,1,Adults,0
201, Mr, Thomas Francis,McCaffry,male,46,0,0,1,75.2417,C,DNS,292,0,Adults,0
202, Mr, Timothy J,McCarthy,male,54,0,0,1,51.8625,S,DNS,175,0,Adults,0
203, Mr, James Robert,McGough,male,36,0,0,1,26.2875,S,7,S,1,Adults,0
204, Mr, Edgar Joseph,Meyer,male,28,1,0,1,82.1708,C,DNS,BNR,0,Adults,1
205, Mrs, Edgar Joseph (Leila Saks),Meyer,female,45,1,0,1,82.1708,C,6,S,1,Adults,1
206, Mr, Francis Davis,Millet,male,65,0,0,1,26.55,S,DNS,249,0,Seniors,0
207, Dr, William Edward,Minahan,male,44,2,0,1,90,Q,DNS,230,0,Adults,2
208, Miss, Daisy E,Minahan,female,33,1,0,1,90,Q,14,S,1,Adults,1
209, Mrs, William Edward (Lillian E Thorpe),Minahan,female,37,1,0,1,90,Q,14,S,1,Adults,1
210, Mr, Philipp Edmund,Mock,male,30,1,0,1,57.75,C,11,S,1,Adults,1
211, Mr, Harry Markland,Molson,male,55,0,0,1,30.5,S,DNS,BNR,0,Adults,0
212, Mr, Clarence Bloomfield,Moore,male,47,0,0,1,42.4,S,DNS,BNR,0,Adults,0
213, Mr, Charles H,Natsch,male,37,0,1,1,29.7,C,DNS,BNR,0,Adults,1
214, Miss, Madeleine,Newell,female,31,1,0,1,113.275,C,6,S,1,Adults,1
215, Miss, Marjorie,Newell,female,23,1,0,1,113.275,C,6,S,1,Adults,1
216, Mr, Arthur Webster,Newell,male,58,0,2,1,113.275,C,DNS,122,0,Adults,2
217, Miss, Helen Monypeny,Newsom,female,19,0,2,1,26.2833,S,5,S,1,Adults,2
218, Mr, Arthur Ernest,Nicholson,male,64,0,0,1,26,S,DNS,263,0,Seniors,0
219, Dona, Fermina,Oliva y Ocana,female,39,0,0,1,108.9,C,8,S,1,Adults,0
220, Mr, Alfred Fernand,Omont,male,41.5,0,0,1,25.7417,C,7,S,1,Adults,0
221, Miss, Helene Ragnhild,Ostby,female,22,0,1,1,61.9792,C,5,S,1,Adults,1
222, Mr, Engelhart Cornelius,Ostby,male,65,0,1,1,61.9792,C,DNS,234,0,Seniors,1
223, Mr, Servando,Ovies y Rodriguez,male,28.5,0,0,1,27.7208,C,DNS,189,0,Adults,0
224, Mr, William Henry Marsh,Parr,male,41.5,0,0,1,0,S,DNS,BNR,0,Adults,0
225, Mr, Austen,Partner,male,45.5,0,0,1,28.5,S,DNS,166,0,Adults,0
226, Mr, Vivian Ponsonby,Payne,male,23,0,0,1,93.5,S,DNS,BNR,0,Adults,0
227, Mr, Thomas Clinton,Pears,male,29,1,0,1,66.6,S,DNS,BNR,0,Adults,1
228, Mrs, Thomas (Edith Wearne),Pears,female,22,1,0,1,66.6,S,8,S,1,Adults,1
229, Mr, Victor de Satode,Penasco y Castellana,male,18,1,0,1,108.9,C,DNS,BNR,0,Teenagers,1
230, Mrs, Victor de Satode (Maria Josefa Perez de Soto y Vallejo),Penasco y Castellana,female,17,1,0,1,108.9,C,8,S,1,Teenagers,1
231, Miss, Anne,Perreault,female,30,0,0,1,93.5,S,3,S,1,Adults,0
232, Major, Arthur Godfrey,Peuchen,male,52,0,0,1,30.5,S,6,S,1,Adults,0
233, Mr, Walter Chamberlain,Porter,male,47,0,0,1,52,S,DNS,207,0,Adults,0
234, Mrs, Thomas Jr (Lily Alexenia Wilson),Potter,female,56,0,1,1,83.1583,C,7,S,1,Adults,1
235, Jonkheer, John George,Reuchlin,male,38,0,0,1,0,S,DNS,BNR,0,Adults,0
236, Mr, George Alexander Lucien,Rheims,male,41.5,0,0,1,39.6,S,A,S,1,Adults,0
237, Mr, Sante,Ringhini,male,22,0,0,1,135.6333,C,DNS,232,0,Adults,0
238, Mr, Victor,Robbins,male,41.5,0,0,1,227.525,C,DNS,BNR,0,Adults,0
239, Mrs, Edward Scott (Elisabeth Walton McMillan),Robert,female,43,0,1,1,211.3375,S,2,S,1,Adults,1
240, Mr, Washington Augustus II,Roebling,male,31,0,0,1,50.4958,S,DNS,BNR,0,Adults,0
241, Mr," Charles Hallace (""Mr C Rolmane"")",Romaine,male,45,0,0,1,26.55,S,9,S,1,Adults,0
242, Mr, Hugh Roscoe,Rood,male,41.5,0,0,1,50,S,DNS,BNR,0,Adults,0
243, Miss, Edith Louise,Rosenbaum,female,33,0,0,1,27.7208,C,11,S,1,Adults,0
244, Mr," George (""Mr George Thorne"")",Rosenshine,male,46,0,0,1,79.2,C,DNS,16,0,Adults,0
245, Mr, John Hugo,Ross,male,36,0,0,1,40.125,C,DNS,BNR,0,Adults,0
246, the Countess, of (Lucy Noel Martha Dyer-Edwards),Rothes,female,33,0,0,1,86.5,S,8,S,1,Adults,0
247, Mr, Martin,Rothschild,male,55,1,0,1,59.4,C,DNS,BNR,0,Adults,1
248, Mrs, Martin (Elizabeth L. Barrett),Rothschild,female,54,1,0,1,59.4,C,6,S,1,Adults,1
249, Mr, Alfred G,Rowe,male,33,0,0,1,26.55,S,DNS,109,0,Adults,0
250, Master, John Borie,Ryerson,male,13,2,2,1,262.375,C,4,S,1,Teenagers,4
